strComposition,bandgap,composition,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,ElementFraction Exceptions,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,ElementProperty Exceptions
ScHg4Cl7,1.26,Sc1 Hg4 Cl7,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.5833333333333334,0,0,0,0.08333333333333333,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17.0,80.0,63.0,38.333333333333336,27.777777777777782,17.0,11.0,94.0,83.0,79.41666666666667,17.01388888888889,94.0,35.453,200.59,165.137,91.290576,72.86628266666666,35.453,171.6,1814.0,1642.4,329.3733333333333,247.43777777777777,171.6,3.0,17.0,14.0,14.166666666666666,3.3055555555555554,17.0,3.0,6.0,3.0,4.083333333333333,1.2777777777777777,3.0,102.0,170.0,68.0,117.66666666666667,18.27777777777778,102.0,1.36,3.16,1.8,2.6233333333333335,0.6261111111111112,3.16,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.9166666666666665,2.4305555555555554,5.0,0.0,10.0,10.0,3.4166666666666665,4.388888888888889,0.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,3.0,26.0,23.0,13.0,8.666666666666666,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5833333333333334,0.48611111111111116,1.0,0.0,9.0,9.0,0.75,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.3333333333333333,1.2777777777777777,1.0,22.235,25.2375862069,3.002586206900002,24.55565373563333,0.4546216475111118,24.4975,0.0,2.493,2.493,1.45425,1.2118749999999998,2.493,0.0,6.35e-06,6.35e-06,5.291666666666666e-07,9.70138888888889e-07,0.0,64.0,194.0,130.0,108.83333333333333,52.305555555555564,64.0,
V2Hg3Cl7,1.16,V2 Hg3 Cl7,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.5833333333333334,0,0,0,0.0,0,0.16666666666666666,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17.0,80.0,63.0,33.75,23.125,17.0,46.0,94.0,48.0,80.25,16.041666666666668,94.0,35.453,200.59,165.137,79.31866666666667,60.63566666666666,35.453,171.6,2183.0,2011.4,522.5133333333333,553.4955555555556,171.6,5.0,17.0,12.0,13.75,3.7916666666666665,17.0,3.0,6.0,3.0,3.9166666666666665,1.0694444444444444,3.0,102.0,153.0,51.0,118.0,18.666666666666668,102.0,1.63,3.16,1.5300000000000002,2.615,0.6358333333333334,3.16,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.9166666666666665,2.4305555555555554,5.0,0.0,10.0,10.0,3.0,3.5,0.0,0.0,14.0,14.0,3.5,5.25,0.0,5.0,26.0,21.0,11.416666666666666,7.291666666666667,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5833333333333334,0.48611111111111116,1.0,0.0,7.0,7.0,1.1666666666666667,1.9444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.75,1.75,1.0,13.01,25.2375862069,12.227586206900002,22.767938218391663,3.252646072797224,24.4975,0.0,2.493,2.493,1.45425,1.2118749999999998,2.493,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,117.0,61.833333333333336,64.0,
Mn6CCl8,1.28,Mn6 C1 Cl8,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0.0,0.5333333333333333,0,0,0,0.0,0,0.0,0,0.4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.0,25.0,19.0,19.466666666666665,4.426666666666666,17.0,52.0,94.0,42.0,76.06666666666666,19.253333333333334,94.0,12.0107,54.938045,42.927345,41.684198,10.6030776,35.453,171.6,3823.0,3651.4,953.9866666666666,834.5457777777777,171.6,7.0,17.0,10.0,12.8,4.64,17.0,2.0,4.0,2.0,3.3333333333333335,0.5333333333333333,3.0,76.0,139.0,63.0,115.06666666666666,19.146666666666665,102.0,1.55,3.16,1.61,2.4753333333333334,0.7402666666666666,3.16,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.8,2.3466666666666667,5.0,0.0,5.0,5.0,2.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,6.8,0.37333333333333346,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.8,0.64,1.0,0.0,5.0,5.0,2.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.8,1.9200000000000002,1.0,5.64,24.4975,18.857499999999998,17.636367816093333,7.31854099616711,24.4975,0.0,4.496,4.496,1.629333333333333,1.3034666666666666,2.493,0.0,0.000310120689655,0.000310120689655,0.000124048275862,0.00014885793103439998,0.0,64.0,217.0,153.0,133.86666666666667,74.52444444444446,64.0,
Hf4S11Cl2,1.11,Hf4 S11 Cl2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.6470588235294118,0.11764705882352941,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23529411764705882,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16.0,72.0,56.0,29.294117647058822,20.096885813148784,16.0,45.0,94.0,49.0,78.58823529411765,15.806228373702417,88.0,32.065,178.49,146.425,66.9165294117647,52.50516262975778,32.065,171.6,2506.0,2334.4,861.1270588235294,774.0578546712803,388.36,4.0,17.0,13.0,13.294117647058824,4.373702422145328,16.0,3.0,6.0,3.0,3.7058823529411766,1.079584775086505,3.0,102.0,175.0,73.0,121.11764705882354,25.35640138408305,105.0,1.3,3.16,1.86,2.3470588235294123,0.49273356401384055,2.58,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.176470588235294,1.494809688581315,4.0,0.0,2.0,2.0,0.47058823529411764,0.7197231833910034,0.0,0.0,14.0,14.0,3.2941176470588234,5.038062283737025,0.0,6.0,18.0,12.0,8.941176470588236,4.262975778546712,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.411764705882353,0.7612456747404844,2.0,0.0,8.0,8.0,1.8823529411764706,2.8788927335640135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,3.2941176470588234,2.2145328719723185,2.0,22.2,25.786875,3.586874999999999,24.79121323529412,1.2885034602076113,25.786875,0.0,2.493,2.493,1.7181176470588237,0.8085259515570933,2.202,0.0,0.0,0.0,0.0,0.0,0.0,64.0,194.0,130.0,98.47058823529412,44.95501730103806,70.0,
VCu5Cl9,1.19,V1 Cu5 Cl9,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.6,0,0,0,0.0,0,0.06666666666666667,0,0.0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17.0,29.0,12.0,21.4,5.279999999999999,17.0,46.0,94.0,48.0,80.8,15.840000000000002,94.0,35.453,63.546,28.092999999999996,45.849900000000005,12.476280000000001,35.453,171.6,2183.0,2011.4,701.0833333333334,635.38,171.6,5.0,17.0,12.0,14.2,3.3600000000000003,17.0,3.0,4.0,1.0,3.4,0.4799999999999999,3.0,102.0,153.0,51.0,115.4,16.080000000000002,102.0,1.63,3.16,1.5300000000000002,2.638,0.6264000000000002,3.16,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,5.0,5.0,3.0,2.4,5.0,0.0,10.0,10.0,3.533333333333333,4.311111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0,8.2,1.8666666666666665,7.0,0.0,1.0,1.0,0.3333333333333333,0.44444444444444453,0.0,0.0,1.0,1.0,0.6,0.48000000000000004,1.0,0.0,7.0,7.0,0.4666666666666667,0.8711111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,1.4,0.7466666666666666,1.0,11.07,24.4975,13.427499999999998,19.25583333333333,6.29,24.4975,0.0,2.493,2.493,1.4957999999999998,1.1966399999999997,2.493,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,128.66666666666666,77.6,64.0,
