mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestregressor__max_depth,param_randomforestregressor__max_features,param_randomforestregressor__min_samples_leaf,param_randomforestregressor__min_samples_split,param_randomforestregressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.009715795516967773,0.0014756936240776176,0.0021018743515014648,0.00031577822928011026,1,0.25,1,2,1,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 0.25, 'randomforestregressor__min_samples_leaf': 1, 'randomforestregressor__min_samples_split': 2, 'randomforestregressor__n_estimators': 1}",-0.33308291358024694,-0.3407620204362465,-0.3324634714635661,-0.3640692621018719,-0.3124993277777778,-0.3289001798704214,-0.34167900543594876,-0.3268985384671496,-0.32369061541846317,-0.32567689557095364,-0.3329722230122646,0.013098727363171163,4390,-0.33297064459642517,-0.3308081445882633,-0.3287769526436825,-0.3271653755536817,-0.3324360132012589,-0.33095491276843864,-0.3287077407701641,-0.33288023152401125,-0.330852807288958,-0.3300281685203439,-0.33055809914552275,0.0018284906622024295
0.015377569198608398,0.0016925910893425746,0.002318453788757324,0.0003153075396659733,1,0.25,1,2,5,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 0.25, 'randomforestregressor__min_samples_leaf': 1, 'randomforestregressor__min_samples_split': 2, 'randomforestregressor__n_estimators': 5}",-0.3267662650083047,-0.3343306103873612,-0.336061588783619,-0.3563984345803966,-0.30785420413561815,-0.32532514862607065,-0.3342165247288154,-0.31987408246745236,-0.31321541549074633,-0.3203896877053574,-0.3274431961913742,0.013054283412319047,3983,-0.32660904464117274,-0.32555549071326184,-0.3239198173187578,-0.3221067667698703,-0.32681403385207686,-0.32425142684993297,-0.3237988350380261,-0.3254931831983152,-0.326299314823701,-0.3246109299541015,-0.32494588431592164,0.00140650647663341
0.02064383029937744,0.00229480440261754,0.0025787353515625,0.0005343670565901013,1,0.25,1,2,10,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 0.25, 'randomforestregressor__min_samples_leaf': 1, 'randomforestregressor__min_samples_split': 2, 'randomforestregressor__n_estimators': 10}",-0.32718781824609955,-0.3356230677697971,-0.33591423319718483,-0.3549157961329514,-0.30832818393724665,-0.3246176746351488,-0.3344604690775081,-0.31953954485301533,-0.31396190665013557,-0.31928890974642576,-0.32738376042455136,0.012754438640066985,3963,-0.3252404692586236,-0.3247195289888933,-0.3231200399715535,-0.32144633281053897,-0.3266584294219044,-0.3242014071664858,-0.32452143734519995,-0.32601833109219136,-0.3262919862113676,-0.32576327567446345,-0.32479812379412215,0.0015098916134640068
0.0800969123840332,0.008472702677275899,0.004614996910095215,0.0008030403528188339,1,0.25,1,2,50,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 0.25, 'randomforestregressor__min_samples_leaf': 1, 'randomforestregressor__min_samples_split': 2, 'randomforestregressor__n_estimators': 50}",-0.3270514216616978,-0.3367502371217355,-0.3326425961641215,-0.3546061113501505,-0.30916491773304816,-0.3231146277916523,-0.33242348791313925,-0.3214951755915347,-0.31813263108632384,-0.3202422496018969,-0.3275623456015301,0.011845018907467662,4064,-0.3251263028092022,-0.32410371440928615,-0.32358945335365874,-0.3218112657403393,-0.32651843232242994,-0.32468344292694284,-0.32441659870861944,-0.32593599655343286,-0.3258579037301459,-0.32511994042660886,-0.3247163050980667,0.0012862657787331795
0.16193232536315919,0.01783158608538355,0.00672304630279541,0.0010226434240767806,1,0.25,1,2,100,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 0.25, 'randomforestregressor__min_samples_leaf': 1, 'randomforestregressor__min_samples_split': 2, 'randomforestregressor__n_estimators': 100}",-0.3270707312363213,-0.335945574999772,-0.33301822286094535,-0.3553098058112436,-0.3107220892546861,-0.32340362013928897,-0.33206136075914394,-0.3212381634660827,-0.31844165147366477,-0.319767865016293,-0.32769790850174413,0.011726428394545805,4100,-0.32497653311936303,-0.32387924141919944,-0.32361225070910904,-0.32186211986599195,-0.32619523798222133,-0.32477814642372316,-0.32427366143051845,-0.3258756975740386,-0.3258540436001787,-0.3252682606616342,-0.32465751927859776,0.0012421530071253528
0.7798477649688721,0.08106133663182237,0.02449960708618164,0.004875251666418602,1,0.25,1,2,500,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 0.25, 'randomforestregressor__min_samples_leaf': 1, 'randomforestregressor__min_samples_split': 2, 'randomforestregressor__n_estimators': 500}",-0.327204861486226,-0.3363082986432081,-0.3316237964214103,-0.3545775362931424,-0.31067965656696317,-0.32308815630014875,-0.33123192337479007,-0.3220304915325101,-0.3193106235708358,-0.31990632685201004,-0.3275961671041244,0.011396228632351601,4084,-0.3248070993084385,-0.32370537212206024,-0.3235264345638258,-0.3219762582223044,-0.3259838980670116,-0.32480182062579976,-0.3242361340410803,-0.325548633561137,-0.3258511773065244,-0.3253255883402822,-0.3245762416158464,0.0011812832345931164
1.548270344734192,0.10036200770577876,0.051093554496765135,0.006493068037645573,1,0.25,1,2,1000,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 0.25, 'randomforestregressor__min_samples_leaf': 1, 'randomforestregressor__min_samples_split': 2, 'randomforestregressor__n_estimators': 1000}",-0.3270818142825941,-0.3363966901424917,-0.3315728516482132,-0.35534130964439103,-0.31095035747279237,-0.32339173941498517,-0.3311994820315561,-0.3219200195955672,-0.3193693833596753,-0.31982237327650115,-0.3277046020868767,0.011538100789970317,4112,-0.3249662808591746,-0.3238874605000116,-0.3236171271075166,-0.32209112568536824,-0.3260931922420055,-0.32484245538902473,-0.3242835028483394,-0.3255716165147478,-0.3258647897332859,-0.32531777625608616,-0.32465353271355607,0.0011541758423763398
0.005103635787963867,0.0005830320887161663,0.0013740062713623047,0.00014981852447314611,1,0.25,1,4,1,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 0.25, 'randomforestregressor__min_samples_leaf': 1, 'randomforestregressor__min_samples_split': 4, 'randomforestregressor__n_estimators': 1}",-0.33308291358024694,-0.3407620204362465,-0.3324634714635661,-0.3640692621018719,-0.3124993277777778,-0.3289001798704214,-0.34167900543594876,-0.3268985384671496,-0.32369061541846317,-0.32567689557095364,-0.3329722230122646,0.013098727363171163,4390,-0.33297064459642517,-0.3308081445882633,-0.3287769526436825,-0.3271653755536817,-0.3324360132012589,-0.33095491276843864,-0.3287077407701641,-0.33288023152401125,-0.330852807288958,-0.3300281685203439,-0.33055809914552275,0.0018284906622024295
0.012330746650695801,0.0019755526191702786,0.0019193172454833984,0.0003087323929992464,1,0.25,1,4,5,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 0.25, 'randomforestregressor__min_samples_leaf': 1, 'randomforestregressor__min_samples_split': 4, 'randomforestregressor__n_estimators': 5}",-0.3267662650083047,-0.3343306103873612,-0.336061588783619,-0.3563984345803966,-0.30785420413561815,-0.32532514862607065,-0.3342165247288154,-0.31987408246745236,-0.31321541549074633,-0.3203896877053574,-0.3274431961913742,0.013054283412319047,3983,-0.32660904464117274,-0.32555549071326184,-0.3239198173187578,-0.3221067667698703,-0.32681403385207686,-0.32425142684993297,-0.3237988350380261,-0.3254931831983152,-0.326299314823701,-0.3246109299541015,-0.32494588431592164,0.00140650647663341
0.02013082504272461,0.0022894739061582346,0.002351713180541992,0.0003775476323451865,1,0.25,1,4,10,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 0.25, 'randomforestregressor__min_samples_leaf': 1, 'randomforestregressor__min_samples_split': 4, 'randomforestregressor__n_estimators': 10}",-0.32718781824609955,-0.3356230677697971,-0.33591423319718483,-0.3549157961329514,-0.30832818393724665,-0.3246176746351488,-0.3344604690775081,-0.31953954485301533,-0.31396190665013557,-0.31928890974642576,-0.32738376042455136,0.012754438640066985,3963,-0.3252404692586236,-0.3247195289888933,-0.3231200399715535,-0.32144633281053897,-0.3266584294219044,-0.3242014071664858,-0.32452143734519995,-0.32601833109219136,-0.3262919862113676,-0.32576327567446345,-0.32479812379412215,0.0015098916134640068
